Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
11:15	v0i6	208815	Making Assumed Knowledge and Implicit Information Explicit [26688]	as I began to speak	1	Peter is using the word **began** to indicate that he had been doing something else (listening to Cornelius tell why he had summoned him) but then began to do something new when Cornelius finished speaking. It might not be necessary to translate the word **began**, since it may seem to convey redundant information that would be not be natural to express in your language. Alternate translation: “as I was speaking”
11:15	zu86	208816	Metaphor [26706]	the Holy Spirit fell on them, just as also on us in the beginning	1	Peter is speaking of the Holy Spirit as if it **fell** on Cornelius and his guests. See how you translated the similar expressions in 8:16 and 10:44. Alternate translation: “they received the Holy Spirit, just as we did in the beginning”
11:15	qijx	208817	Pronouns — When to Use Them [26838]	them	1	The pronoun **them** refers to Cornelius and his guests. Alternate translation: “the man who had sent for me and the others in his house”
11:15	t1c8	208818	Exclusive and Inclusive ‘We’ [26685]	just as also on us	1	Here the word **us** refers to Peter himself and to the believers to whom he is speaking in Jerusalem, so use the inclusive form of that word if your language marks that distinction.
11:15	a14b	208819	Assumed Knowledge and Implicit Information [26687]	in the beginning	1	By **in the beginning**, Peter means the day of Pentecost. Alternate translation: “on the day of Pentecost”
11:16	d05u	208820	Metonymy [26707]	the word	1	Peter is using the term **word** to mean what Jesus said by using words. Alternate translation: “the statement”
11:16	k0o6	208821	Politeness [26837]	of the Lord	1	As the General Notes to this chapter discuss, Peter is referring to Jesus here by a respectful title. Use a form for addressing someone respectfully in your language. Alternate translation: “of the Lord Jesus”
11:16	koni	208822	Metaphor [26706]	you will be baptized in the Holy Spirit	1	After first describing how John baptized people literally, Jesus uses baptism in this second instance as a metaphor. See the discussion in the General Notes to Chapter 1, and see how you translated this in 1:5. Alternate translation: “the Holy Spirit will come and empower you”
11:16	t2eh	208823	Active or Passive [26672]	you will be baptized	1	You may wish to retain the metaphor of baptism in your translation. If you do, if it would be clearer in your language, you could state this with an active form, and you can say who will do the action. Alternate translation, as in UST: “God will baptize you”
11:17	kvom	208824	Exclusive and Inclusive ‘We’ [26685]	to us	1	Here the word **us** refers to Peter himself and to the believers to whom he is speaking in Jerusalem, so use the inclusive form of that word if your language marks that distinction.
11:17	q59m	208825	Assumed Knowledge and Implicit Information [26687]	God gave to them the same gift as also to us having believed	1	Peter is referring to the **gift** of the Holy Spirit. Alternate translation: “the gift of the Holy Spirit, just as he did to us when we believed”
11:17	u8w9	208826	Rhetorical Question [26724]	I, who was I {to be} able to hinder God	1	Peter is using the question form to convince his listeners that God wanted him to accept the Gentile believers. If you would not use a rhetorical question for this purpose in your language, you could translate this as a statement or an exclamation. Alternate translation: “I could not hinder God!”
11:17	chi3	208827	Pronouns — When to Use Them [26838]	I, who was I {to be} able to hinder God	1	For emphasis, Peter is adding the pronoun **I**, which is not required with the verb. If your language does not ordinarily use a pronoun with verbs but can do so for emphasis, it would be appropriate to do that here. You could also express the emphasis in another way. Alternate translation: “I certainly could not hinder God!”
11:17	cqfo	208828	Assumed Knowledge and Implicit Information [26687]	to hinder God	1	It may be helpful to indicate in what way Peter thought he might be able to **hinder** God. Alternate translation: “to hinder God by refusing to welcome and baptize people to whom he had given his own Spirit”
11:18	kbfj	208829	Pronouns — When to Use Them [26838]	they became quiet	1	The pronoun **they** refers to the Jewish believers to whom Peter was speaking. Alternate translation: “the Jewish believers became quiet”
11:18	h0ok	208830	Idiom [26697]	they became quiet	1	This is an idiom that means they no longer argued. Alternate translation: “they no longer argued with Peter”
